# Tags anonymized in DICOM standard
# Documentation for groups meaning can be found in default associated actions.
# http://dicom.nema.org/dicom/2013/output/chtml/part15/chapter_E.html#table_E.1-1
0008,1049,# Physician(s of Record Identification Sequence
0018,1004,# Plate ID
0040,0012,# Pre-Medication
0010,21C0,# Pregnancy Status
0040,2001,# Reason for the Imaging Service Request
0032,1030,# Reason for Study
0400,0402,# Referenced Digital Signature Sequence
0038,0004,# Referenced Patient Alias Sequence
0008,1120,# Referenced Patient Sequence
0400,0403,# Referenced SOP Instance MAC Sequence
0008,0092,# Referring Physician's Address
0008,0096,# Referring Physician's Identification Sequence
0008,0094,# Referring Physician's Telephone Numbers
0010,2152,# Region of Residence
0040,0275,# Request Attributes Sequence
0032,1070,# Requested Contrast Agent
0040,1400,# Requested Procedure Comments
0040,1001,# Requested Procedure ID
0040,1005,# Requested Procedure Location
0032,1032,# Requesting Physician
0032,1033,# Requesting Service
0010,2299,# Responsible Organization
0010,2297,# Responsible Person
4008,4000,# Results Comments
4008,0118,# Results Distribution List Sequence
4008,0042,# Results ID Issuer
0040,4034,# Scheduled Human Performers Sequence
0038,001E,# Scheduled Patient Institution Residence
0040,000B,# Scheduled Performing Physician Identification Sequence
0040,0006,# Scheduled Performing Physician Name
0040,0004,# Scheduled Procedure Step End Date
0040,0005,# Scheduled Procedure Step End Time
0040,0007,# Scheduled Procedure Step Description
0040,0011,# Scheduled Procedure Step Location
0040,0002,# Scheduled Procedure Step Start Date
0040,0003,# Scheduled Procedure Step Start Time
0040,0001,# Scheduled Station AE Title
0040,4027,# Scheduled Station Geographic Location Code Sequence
0040,0010,# Scheduled Station Name
0040,4025,# Scheduled Station Name Code Sequence
0032,1020,# Scheduled Study Location
0032,1021,# Scheduled Study Location AE Title
0008,103E,# Series Description
0038,0062,# Service Episode Description
0038,0060,# Service Episode ID
0010,21A0,# Smoking Status
0038,0050,# Special Needs
0032,4000,# Study Comments
0008,1030,# Study Description
0032,0012,# Study ID Issuer
4000,4000,# Text Comments
2030,0020,# Text String
0008,0201,# Timezone Offset From UTC
0088,0910,# Topic Author
0088,0912,# Topic Keywords
0088,0906,# Topic Subject
0088,0904,# Topic Title
0040,A027,# Verifying Organization
0038,4000,# Visit Comments
0020,9161,# Concatenation UID
0008,010D,# Context Group Extension Creator UID
0008,9123,# Creator Version UID
0018,1002,# Device UID
0020,9164,# Dimension Organization UID
300A,0013,# Dose Reference UID
0008,0058,# Failed SOP Instance UID List
0070,031A,# Fiducial UID
0020,0052,# Frame of Reference UID
0008,0014,# Instance Creator UID
0008,3010,# Irradiation Event UID
0028,1214,# Large Palette Color Lookup Table UID
0002,0003,# Media Storage SOP Instance UID
0028,1199,# Palette Color Lookup Table UID
3006,0024,# Referenced Frame of Reference UID
0040,4023,# Referenced General Purpose Scheduled Procedure Step Transaction UID
0008,1155,# Referenced SOP Instance UID
0004,1511,# Referenced SOP Instance UID in File
3006,00C2,# Related Frame of Reference UID
0000,1001,# Requested SOP Instance UID
0020,000E,# Series Instance UID
0008,0018,# SOP Instance UID
0088,0140,# Storage Media File-set UID
0020,000D,# Study Instance UID
0020,0200,# Synchronization Frame of Reference UID
0040,DB0D,# Template Extension Creator UID
0040,DB0C,# Template Extension Organization UID
0008,1195,# Transaction UID
0040,A124,# UID
0008,0023,# Content Date
0008,0033,# Content Time
0018,0010,# Contrast Bolus Agent
0008,0022,# Acquisition Date
0008,0032,# Acquisition Time
0010,2203,# Patient Sex Neutered
#0008,1110,# Referenced Study Sequence
0032,1060,# Requested Procedure Description
300E,0008,# Reviewer Name
0008,002A,# Acquisition DateTime
0018,1400,# Acquisition Device Processing Description
0018,700A,# Detector ID
0008,1072,# Operators' Identification Sequence
0018,1030,# Protocol Name
0008,0021,# Series Date
0008,0031,# Series Time
0018,1000,# Device Serial Number
0008,0082,# Institution Code Sequence
0008,0080,# Institution Name
0008,1070,# Operators' Name
#0008,1111,# Referenced Performed Procedure Step Sequence
0008,1010,# Station Name
#0008,1140,# Referenced Image Sequence
0008,2112,# Source Image Sequence
